"Car","Class","Driver","Lap","Lap Time","Session Time","Flag","Location","S01","S02","S03","S04","S05","S06","S07","S08","S09","S10","S11","S12","S13","SPI"
"23","LMP3","Anthony Simone","1","2:21.834","2:21.834","Green","Pit","0.000","19.076","10.288","20.866","7.948","6.474","5.915","10.336","7.149","6.318","9.027","0.000","0.000","0.000"
"55","LMP3","Timo Reger","1","2:24.968","2:24.968","Green","Track","0.000","20.202","11.509","23.178","8.104","6.625","6.175","13.481","7.552","6.559","5.572","0.507","3.246","161.377"
"74","LMP3","Wyatt Schwab","1","2:26.376","2:26.376","Green","Track","0.000","20.567","12.581","23.291","8.131","6.669","6.213","11.305","7.378","6.533","5.536","0.504","3.214","162.338"
"4","LMP3","Leo Lamelas","1","2:26.466","2:26.466","Green","Track","0.000","20.535","11.469","23.337","8.043","6.543","6.307","11.306","7.266","6.497","5.520","0.500","3.213","163.636"
"40","LMP3","Keith Grant","1","2:29.331","2:29.331","Green","Track","0.000","20.809","11.988","22.380","8.208","6.616","6.204","10.483","7.160","6.434","5.472","0.498","3.177","164.294"
"33","LMP3","Nigel Greensall","1","2:32.370","2:32.370","Green","Track","0.000","19.720","11.568","22.730","8.937","6.762","6.241","10.730","7.201","6.447","5.474","0.498","3.185","164.294"
"2","LMP3","Michal Chlumecky","1","2:34.567","2:34.567","Green","Track","0.000","19.857","10.773","22.335","8.256","6.801","6.399","12.166","7.362","6.466","5.444","0.494","3.154","165.624"
"47","LMP3","Austin McCusker","1","2:35.454","2:35.454","Green","Pit","0.000","19.131","11.832","22.872","8.254","6.651","6.122","10.627","7.309","6.462","10.441","0.000","0.000","0.000"
"75","LMP3","Cameron Cassels","1","2:38.600","2:38.600","Green","Track","0.000","20.341","11.239","21.953","8.041","6.563","6.241","10.667","7.215","6.418","5.474","0.505","3.269","162.016"
"70","LMP3","Joel Janco","1","2:40.613","2:40.613","Green","Track","0.000","21.844","12.544","22.295","8.083","6.566","6.196","11.157","7.280","6.438","5.441","0.492","3.143","166.297"
"51","LMP3","Rob Hodes","1","2:41.524","2:41.524","Green","Pit","0.000","20.493","12.323","22.363","7.880","6.445","7.023","11.047","7.138","6.710","10.079","0.000","0.000","0.000"
"64","LMP3","Alex Barron","1","2:47.160","2:47.160","Green","Pit","0.000","20.878","11.569","22.857","8.928","6.689","6.535","12.025","7.273","6.397","7.699","0.000","0.000","0.000"
"7","LMP3","Blake Mount","1","2:50.229","2:50.229","Green","Track","0.000","21.425","11.613","22.364","8.354","6.666","6.128","10.863","7.271","6.457","5.468","0.496","3.176","164.956"
"10","LMP3","Kenton Koch","1","2:50.934","2:50.934","Green","Pit","0.000","19.216","10.846","21.766","7.998","6.572","6.210","10.460","7.157","6.398","9.383","0.000","0.000","0.000"
"25","LMP3","Ross Chouest","1","3:06.764","3:06.764","Green","Pit","0.000","18.769","11.477","22.101","8.089","6.582","6.288","11.473","7.286","6.431","10.493","0.000","0.000","0.000"
"11","LMP3","Maurice Smith","1","3:10.860","3:10.860","Green","Pit","0.000","20.764","12.222","22.624","8.489","6.781","6.547","11.648","7.469","6.789","9.189","0.000","0.000","0.000"
"86","LMP3","Dave House","1","3:19.611","3:19.611","Green","Pit","0.000","23.408","12.686","25.092","8.777","6.705","6.492","12.382","7.943","7.810","9.559","0.000","0.000","0.000"
"60","LMP3","Scott Maxwell","1","3:20.756","3:20.756","Green","Pit","0.000","19.860","11.365","22.224","8.286","6.650","6.358","11.617","7.366","6.510","9.278","0.000","0.000","0.000"
"4","LMP3","Leo Lamelas","2","1:51.590","4:18.056","Green","Track","12.765","14.771","9.936","20.862","7.915","6.490","6.087","10.386","7.066","6.312","5.378","0.491","3.131","166.636"
"55","LMP3","Timo Reger","2","1:53.111","4:18.079","Green","Track","12.801","15.430","10.062","20.975","7.875","6.553","6.102","10.537","7.128","6.411","5.502","0.502","3.233","162.984"
"40","LMP3","Keith Grant","2","1:50.608","4:19.939","Green","Track","12.173","14.551","10.162","20.512","7.973","6.507","6.111","10.264","7.076","6.297","5.369","0.489","3.124","167.317"
"74","LMP3","Wyatt Schwab","2","1:53.711","4:20.087","Green","Track","13.546","14.937","10.220","21.153","7.993","6.584","6.166","10.369","7.165","6.407","5.490","0.500","3.181","163.636"
